                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2755,                0.94718,                 1.5139,                0.82212,                0.87916,                0.92457,                0.56663,                 1.2839,                0.93828,                 1.6054,             0.00099001,             0.00099001,             0.00099001
                     36,                  1.283,                0.94722,                 1.5323,                0.81458,                0.80627,                0.86719,                0.52826,                 1.3732,                 1.0242,                 1.6909,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.3046,                0.99496,                  1.543,                0.82722,                0.82387,                0.88388,                0.52918,                 1.2486,                 1.1672,                 1.5243,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.2848,                0.99225,                 1.5123,                0.81334,                0.78982,                0.82828,                0.48697,                 1.2773,                 1.1227,                 1.5736,             0.00097901,             0.00097901,             0.00097901
                     39,                  1.247,                0.95355,                 1.4832,                0.85549,                0.83258,                0.88808,                0.56096,                 1.2651,                0.90984,                 1.5275,             0.00097535,             0.00097535,             0.00097535
                     40,                 1.2721,                0.99612,                 1.4907,                0.84872,                0.88071,                0.91437,                0.57759,                 1.1924,                0.93365,                 1.4322,             0.00097168,             0.00097168,             0.00097168
                     41,                 1.2532,                0.95548,                 1.4847,                0.84306,                0.87922,                0.92705,                0.58015,                 1.2727,                0.90444,                 1.5099,             0.00096801,             0.00096801,             0.00096801
                     42,                 1.2723,                 0.9245,                 1.4809,                0.77474,                0.86392,                0.89653,                0.54692,                 1.2533,                 1.0296,                 1.5284,             0.00096435,             0.00096435,             0.00096435
                     43,                 1.2225,                 0.8976,                 1.4635,                0.84776,                0.86049,                0.93061,                0.58947,                 1.2603,                0.87869,                  1.511,             0.00096068,             0.00096068,             0.00096068
                     44,                  1.209,                0.89106,                 1.4427,                0.79301,                0.82311,                0.85526,                0.53586,                 1.2537,                 1.0549,                  1.523,             0.00095702,             0.00095702,             0.00095702
                     45,                 1.2119,                0.88968,                 1.4582,                0.85161,                0.89105,                0.92602,                  0.619,                 1.1327,                0.82736,                 1.4166,             0.00095335,             0.00095335,             0.00095335
                     46,                 1.2221,                0.87415,                 1.4458,                 0.8641,                0.82986,                0.93381,                0.57372,                 1.2894,                0.86954,                 1.5571,             0.00094968,             0.00094968,             0.00094968
                     47,                 1.2008,                0.87631,                 1.4464,                0.84749,                0.88955,                0.92562,                0.58365,                 1.2087,                0.87202,                 1.4893,             0.00094602,             0.00094602,             0.00094602
                     48,                 1.2057,                0.88117,                 1.4703,                0.91039,                0.87609,                0.92574,                0.59558,                 1.2032,                0.86203,                 1.4591,             0.00094235,             0.00094235,             0.00094235
                     49,                 1.1962,                0.89855,                 1.4497,                0.87325,                0.88358,                0.92684,                0.59767,                 1.2077,                0.89357,                 1.4736,             0.00093868,             0.00093868,             0.00093868
                     50,                 1.2056,                0.87242,                 1.4222,                 0.8897,                0.86446,                0.93425,                0.59833,                 1.2535,                0.84229,                 1.5315,             0.00093502,             0.00093502,             0.00093502
                     51,                 1.1785,                0.84802,                 1.4251,                0.87663,                0.89369,                0.94773,                0.59981,                 1.2248,                0.81198,                 1.4972,             0.00093135,             0.00093135,             0.00093135
                     52,                 1.1896,                0.82909,                 1.4091,                0.89293,                0.91026,                0.92269,                0.59703,                 1.2128,                0.78817,                 1.4815,             0.00092769,             0.00092769,             0.00092769
                     53,                 1.1867,                0.83169,                 1.4242,                0.86584,                0.85333,                0.93751,                0.59756,                 1.1959,                0.83569,                 1.4845,             0.00092402,             0.00092402,             0.00092402
                     54,                   1.16,                0.82671,                 1.3985,                0.86548,                0.90496,                0.94242,                0.58779,                 1.2473,                0.79605,                  1.492,             0.00092035,             0.00092035,             0.00092035
                     55,                 1.1552,                    0.8,                 1.4008,                0.89535,                0.85348,                0.93664,                0.64212,                  1.136,                0.78178,                 1.4318,             0.00091669,             0.00091669,             0.00091669
                     56,                 1.1892,                0.80964,                 1.4226,                0.81472,                0.81582,                 0.8853,                0.57044,                 1.2696,                 1.0583,                  1.538,             0.00091302,             0.00091302,             0.00091302
                     57,                 1.1884,                0.81644,                 1.4197,                 0.8609,                 0.8781,                0.90066,                0.57591,                 1.2292,                0.84578,                  1.463,             0.00090935,             0.00090935,             0.00090935
                     58,                  1.172,                0.79253,                 1.4071,                0.91131,                0.88925,                 0.9545,                0.62872,                 1.1901,                0.75029,                 1.4567,             0.00090569,             0.00090569,             0.00090569
                     59,                 1.1536,                0.78063,                 1.4011,                  0.889,                0.88782,                0.94752,                 0.6193,                 1.2071,                0.83799,                 1.4761,             0.00090202,             0.00090202,             0.00090202
                     60,                 1.1463,                0.80017,                 1.4041,                0.85043,                0.87695,                0.94546,                0.59945,                 1.2534,                0.78479,                 1.4781,             0.00089835,             0.00089835,             0.00089835
                     61,                 1.1522,                0.81147,                 1.4107,                0.89006,                0.83766,                0.91874,                 0.6131,                 1.1635,                0.80598,                 1.4368,             0.00089469,             0.00089469,             0.00089469
                     62,                 1.1464,                0.76517,                 1.3922,                0.90095,                0.88188,                0.93493,                0.59888,                  1.229,                0.74267,                 1.4632,             0.00089102,             0.00089102,             0.00089102
                     63,                 1.1405,                0.81854,                  1.381,                0.88946,                0.90456,                0.93468,                0.62841,                 1.1389,                0.79026,                 1.4201,             0.00088736,             0.00088736,             0.00088736
                     64,                 1.1068,                0.75913,                 1.3478,                0.86333,                0.88744,                0.94368,                0.64414,                 1.1098,                0.72032,                 1.4223,             0.00088369,             0.00088369,             0.00088369
