                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.92431,                0.56065,                 1.2159,                0.91678,                 0.8972,                0.94558,                0.63994,                 1.1661,                0.63667,                 1.4065,             0.00057205,             0.00057205,             0.00057205
                    150,                0.90696,                0.53747,                 1.2254,                 0.9277,                0.91245,                 0.9618,                 0.6704,                 1.1136,                0.57731,                 1.3857,             0.00056839,             0.00056839,             0.00056839
                    151,                0.92213,                0.55301,                 1.2162,                 0.9268,                0.92369,                0.96413,                0.66971,                 1.1144,                 0.6252,                 1.3833,             0.00056472,             0.00056472,             0.00056472
                    152,                0.89332,                0.52631,                 1.2148,                0.95183,                0.91777,                0.96034,                0.67619,                 1.0821,                0.58879,                 1.3647,             0.00056105,             0.00056105,             0.00056105
                    153,                0.89312,                0.52716,                  1.208,                 0.9369,                 0.8993,                0.95415,                0.66724,                 1.1054,                0.61693,                  1.378,             0.00055739,             0.00055739,             0.00055739
                    154,                0.91451,                  0.545,                 1.2259,                0.89906,                0.92524,                0.95596,                0.68935,                 1.0918,                0.60642,                 1.3871,             0.00055372,             0.00055372,             0.00055372
                    155,                0.91521,                0.53245,                 1.2245,                0.95272,                 0.8987,                0.95833,                0.66968,                 1.1602,                0.58077,                 1.4379,             0.00055006,             0.00055006,             0.00055006
                    156,                0.89583,                0.52297,                 1.2105,                0.90821,                0.93618,                0.95666,                0.67531,                 1.1209,                0.57793,                 1.3882,             0.00054639,             0.00054639,             0.00054639
                    157,                0.89546,                0.52206,                 1.2038,                0.90218,                0.91412,                0.95242,                0.65641,                 1.1427,                 0.6204,                 1.4058,             0.00054272,             0.00054272,             0.00054272
                    158,                0.86731,                0.52271,                 1.1974,                0.89307,                0.91246,                 0.9636,                0.67417,                 1.1107,                0.58301,                  1.388,             0.00053906,             0.00053906,             0.00053906
                    159,                0.88951,                 0.5143,                 1.2036,                0.92499,                0.93179,                0.96462,                0.66307,                 1.1521,                0.56162,                 1.4297,             0.00053539,             0.00053539,             0.00053539
                    160,                0.88249,                0.52699,                 1.1851,                0.92478,                0.91131,                 0.9634,                 0.6553,                 1.2011,                0.59506,                 1.4444,             0.00053172,             0.00053172,             0.00053172
                    161,                0.88179,                 0.5059,                 1.1934,                0.90454,                0.90002,                0.94641,                0.67225,                 1.1085,                 0.6019,                 1.4098,             0.00052806,             0.00052806,             0.00052806
                    162,                0.87897,                0.52767,                 1.1959,                0.91008,                0.89095,                0.95257,                0.66614,                 1.1214,                0.60228,                 1.4114,             0.00052439,             0.00052439,             0.00052439
                    163,                0.90121,                0.52549,                 1.2163,                0.92258,                 0.9183,                0.95701,                0.65484,                  1.166,                0.60761,                 1.4218,             0.00052073,             0.00052073,             0.00052073
                    164,                0.86793,                0.49182,                 1.1835,                0.90917,                0.93641,                0.96625,                0.68626,                 1.0881,                0.54894,                 1.3799,             0.00051706,             0.00051706,             0.00051706
                    165,                0.86361,                0.48416,                 1.1918,                0.93753,                0.90238,                 0.9592,                0.68115,                 1.1024,                0.59975,                 1.3862,             0.00051339,             0.00051339,             0.00051339
                    166,                0.86184,                0.49904,                 1.1932,                0.90976,                0.90853,                0.95418,                0.67487,                 1.1247,                0.59495,                 1.4034,             0.00050973,             0.00050973,             0.00050973
                    167,                0.87864,                0.50432,                 1.1785,                0.91265,                0.90486,                 0.9547,                0.67914,                 1.0481,                0.61605,                 1.3623,             0.00050606,             0.00050606,             0.00050606
                    168,                0.85504,                0.49847,                 1.1812,                0.92189,                0.92996,                0.95823,                 0.6784,                 1.1221,                0.57676,                 1.4093,             0.00050239,             0.00050239,             0.00050239
                    169,                0.85858,                0.51215,                 1.1686,                0.93359,                0.90068,                0.96753,                 0.6604,                 1.1277,                0.60481,                 1.4402,             0.00049873,             0.00049873,             0.00049873
                    170,                0.86738,                0.49142,                 1.1955,                0.95451,                0.91065,                  0.967,                0.68048,                  1.099,                0.57419,                 1.4017,             0.00049506,             0.00049506,             0.00049506
                    171,                0.87153,                0.50023,                 1.1753,                0.93463,                0.88955,                0.94898,                0.65234,                 1.1471,                0.62117,                 1.4389,              0.0004914,              0.0004914,              0.0004914
                    172,                0.83874,                0.48129,                 1.1679,                0.94786,                0.93036,                0.95903,                0.65841,                 1.1617,                0.56291,                 1.4453,             0.00048773,             0.00048773,             0.00048773
                    173,                0.83321,                0.47755,                 1.1758,                0.90388,                0.92542,                0.96574,                0.66361,                 1.1306,                0.59723,                 1.4164,             0.00048406,             0.00048406,             0.00048406
                    174,                0.84512,                0.48367,                 1.1745,                0.94666,                0.90321,                0.96479,                0.67833,                 1.0726,                0.53692,                 1.3908,              0.0004804,              0.0004804,              0.0004804
                    175,                0.84795,                 0.4929,                 1.1781,                 0.9206,                0.92591,                0.96784,                0.68612,                 1.1037,                0.56208,                 1.3887,             0.00047673,             0.00047673,             0.00047673
                    176,                0.84597,                0.49084,                  1.171,                0.90872,                0.93988,                0.95816,                0.68543,                 1.1245,                 0.5371,                 1.4017,             0.00047306,             0.00047306,             0.00047306
                    177,                0.83196,                0.48867,                 1.1721,                0.89432,                0.92994,                0.95407,                0.66078,                 1.1562,                0.58565,                 1.4431,              0.0004694,              0.0004694,              0.0004694
                    178,                0.83715,                 0.4805,                 1.1817,                0.88399,                 0.9289,                0.96032,                0.65955,                 1.1084,                0.58387,                 1.4008,             0.00046573,             0.00046573,             0.00046573
                    179,                0.83619,                0.47647,                 1.1718,                0.94387,                0.92422,                0.96064,                0.68019,                 1.1052,                0.55854,                 1.4202,             0.00046206,             0.00046206,             0.00046206
                    180,                0.80776,                0.45545,                  1.164,                0.91531,                0.91704,                0.95869,                0.66547,                 1.1517,                0.60632,                 1.4501,              0.0004584,              0.0004584,              0.0004584
                    181,                 0.8386,                0.49052,                 1.1792,                0.91527,                0.93005,                0.96574,                0.68661,                 1.1115,                0.54053,                 1.4201,             0.00045473,             0.00045473,             0.00045473
                    182,                0.82079,                0.47265,                 1.1544,                0.90344,                0.93096,                0.96377,                0.68565,                 1.0815,                0.57004,                 1.3841,             0.00045107,             0.00045107,             0.00045107
                    183,                0.82781,                0.48324,                 1.1627,                0.91864,                0.88541,                0.95132,                0.67583,                 1.1058,                0.58834,                 1.4153,              0.0004474,              0.0004474,              0.0004474
                    184,                0.80777,                0.48354,                 1.1568,                 0.9297,                0.90259,                0.95807,                0.66834,                 1.1124,                 0.5737,                 1.4112,             0.00044373,             0.00044373,             0.00044373
                    185,                 0.8075,                 0.4722,                 1.1471,                0.93923,                 0.9027,                 0.9591,                0.67833,                 1.1058,                0.55682,                 1.4349,             0.00044007,             0.00044007,             0.00044007
                    186,                0.82625,                0.47954,                 1.1709,                0.91855,                0.90543,                 0.9624,                0.67906,                 1.0818,                0.60764,                 1.4025,              0.0004364,              0.0004364,              0.0004364
                    187,                0.80971,                0.47887,                 1.1481,                0.90494,                0.89791,                0.95882,                 0.6589,                 1.1362,                0.59979,                 1.4349,             0.00043273,             0.00043273,             0.00043273
                    188,                0.78438,                0.46543,                 1.1414,                0.92015,                0.92828,                0.96127,                0.67632,                 1.1072,                0.55716,                  1.431,             0.00042907,             0.00042907,             0.00042907
                    189,                0.81851,                0.46416,                 1.1574,                  0.911,                0.91634,                0.96619,                0.67641,                 1.1115,                0.55434,                 1.4546,              0.0004254,              0.0004254,              0.0004254
                    190,                0.80939,                0.46828,                 1.1581,                0.92751,                0.91343,                0.95008,                0.67126,                 1.1262,                0.57759,                 1.4218,             0.00042174,             0.00042174,             0.00042174
                    191,                0.78572,                0.45543,                 1.1428,                0.93286,                0.92892,                0.96915,                0.68246,                  1.097,                0.53148,                 1.4294,             0.00041807,             0.00041807,             0.00041807
                    192,                0.80951,                0.46231,                 1.1395,                0.93692,                0.89043,                0.96088,                0.66811,                 1.1414,                0.56372,                 1.4643,              0.0004144,              0.0004144,              0.0004144
                    193,                0.81644,                0.46453,                 1.1471,                0.93138,                 0.9142,                0.96935,                0.66893,                 1.1546,                0.55054,                 1.4523,             0.00041074,             0.00041074,             0.00041074
                    194,                 0.7849,                0.45711,                 1.1501,                0.95212,                0.92211,                0.96789,                0.68136,                 1.1309,                0.52169,                 1.4376,             0.00040707,             0.00040707,             0.00040707
                    195,                0.80563,                0.47748,                  1.145,                0.90236,                0.93754,                0.95649,                0.66823,                 1.1353,                  0.593,                 1.4496,              0.0004034,              0.0004034,              0.0004034
                    196,                 0.7993,                0.45605,                 1.1442,                0.91429,                0.90465,                 0.9593,                0.68178,                 1.1021,                0.59048,                 1.4304,             0.00039974,             0.00039974,             0.00039974
                    197,                0.77902,                0.45472,                  1.148,                0.94077,                0.92166,                0.96143,                 0.6806,                 1.1126,                0.54372,                 1.4461,             0.00039607,             0.00039607,             0.00039607
                    198,                0.79087,                0.45461,                 1.1446,                0.88638,                0.93534,                0.95959,                0.67987,                 1.1004,                0.54442,                 1.4251,             0.00039241,             0.00039241,             0.00039241
                    199,                0.80365,                 0.4618,                 1.1501,                  0.889,                0.93746,                  0.959,                 0.6753,                 1.1206,                0.57124,                 1.4427,             0.00038874,             0.00038874,             0.00038874
                    200,                0.76905,                0.43959,                 1.1243,                 0.9015,                0.94319,                 0.9628,                0.69167,                 1.0911,                0.53856,                 1.4081,             0.00038507,             0.00038507,             0.00038507
                    201,                0.76701,                0.44235,                  1.127,                0.93234,                0.92886,                0.97156,                0.67696,                 1.1375,                0.55935,                 1.4402,             0.00038141,             0.00038141,             0.00038141
                    202,                0.76996,                0.44171,                 1.1288,                0.91825,                0.93964,                0.96693,                0.67326,                 1.1484,                0.54303,                 1.4474,             0.00037774,             0.00037774,             0.00037774
                    203,                0.77775,                0.44687,                 1.1259,                 0.8993,                0.91406,                0.95938,                0.66713,                 1.1308,                 0.5756,                 1.4441,             0.00037407,             0.00037407,             0.00037407
                    204,                0.77194,                0.45093,                 1.1235,                0.91927,                0.93542,                0.96299,                0.69557,                 1.0803,                0.54737,                 1.3983,             0.00037041,             0.00037041,             0.00037041
                    205,                0.76921,                0.43027,                 1.1274,                0.91774,                0.93069,                0.96061,                0.66951,                 1.1437,                0.56693,                  1.419,             0.00036674,             0.00036674,             0.00036674
                    206,                0.74588,                0.43002,                 1.1167,                0.92367,                0.91534,                 0.9541,                0.69241,                 1.0778,                0.53956,                 1.3876,             0.00036307,             0.00036307,             0.00036307
                    207,                0.77504,                 0.4399,                 1.1193,                0.93823,                0.93593,                 0.9627,                0.69174,                 1.1129,                 0.5214,                 1.4283,             0.00035941,             0.00035941,             0.00035941
                    208,                0.77846,                0.43151,                 1.1303,                0.94761,                0.92866,                0.96486,                0.68588,                 1.1167,                0.53001,                 1.4295,             0.00035574,             0.00035574,             0.00035574
                    209,                0.76102,                0.43523,                 1.1208,                0.92854,                0.91566,                0.96189,                0.69057,                 1.0923,                0.55856,                  1.412,             0.00035208,             0.00035208,             0.00035208
                    210,                0.75204,                 0.4286,                 1.1178,                0.88218,                0.93293,                0.95729,                0.68257,                  1.078,                0.58463,                 1.4003,             0.00034841,             0.00034841,             0.00034841
                    211,                0.73205,                0.41939,                  1.112,                0.93642,                0.94156,                0.96644,                0.68914,                 1.0849,                0.54901,                 1.3792,             0.00034474,             0.00034474,             0.00034474
                    212,                 0.7428,                0.43279,                 1.1199,                0.93951,                0.91789,                0.96449,                0.68017,                 1.0881,                0.56669,                 1.3951,             0.00034108,             0.00034108,             0.00034108
                    213,                0.74375,                0.43772,                  1.119,                0.91625,                0.92099,                0.96295,                0.68788,                 1.1003,                0.55247,                 1.4107,             0.00033741,             0.00033741,             0.00033741
                    214,                0.75808,                 0.4449,                 1.1381,                0.93644,                0.89645,                0.95665,                0.68002,                 1.0924,                0.56656,                  1.398,             0.00033374,             0.00033374,             0.00033374
                    215,                0.73686,                0.42693,                 1.1038,                0.95767,                0.93604,                0.96422,                0.68404,                 1.1118,                0.57261,                 1.3907,             0.00033008,             0.00033008,             0.00033008
                    216,                0.75009,                0.42666,                 1.1127,                0.95108,                0.92048,                0.96993,                0.68211,                 1.1034,                0.55564,                 1.3976,             0.00032641,             0.00032641,             0.00032641
                    217,                0.75671,                0.43544,                 1.1249,                0.95088,                0.92761,                0.95932,                0.69074,                 1.0835,                0.54474,                 1.4176,             0.00032275,             0.00032275,             0.00032275
                    218,                0.75547,                0.43378,                  1.111,                0.94614,                0.91497,                0.96326,                0.67964,                 1.1534,                0.55536,                 1.4762,             0.00031908,             0.00031908,             0.00031908
                    219,                0.71323,                0.41236,                 1.0874,                 0.9331,                0.90457,                0.96069,                0.65326,                  1.188,                0.57917,                 1.5001,             0.00031541,             0.00031541,             0.00031541
                    220,                0.72824,                 0.4063,                 1.1023,                0.93689,                0.88809,                0.95885,                0.68443,                  1.086,                0.56326,                  1.431,             0.00031175,             0.00031175,             0.00031175
                    221,                0.73185,                0.40699,                  1.112,                0.95788,                0.91141,                0.96544,                0.69313,                 1.0983,                0.51366,                 1.4351,             0.00030808,             0.00030808,             0.00030808
                    222,                0.72665,                0.42406,                 1.0977,                0.96639,                0.93418,                0.97276,                0.68801,                 1.1248,                0.50351,                 1.4372,             0.00030441,             0.00030441,             0.00030441
                    223,                0.72087,                0.41159,                 1.0888,                0.92911,                0.94595,                0.97144,                0.68779,                 1.0874,                 0.5444,                 1.4368,             0.00030075,             0.00030075,             0.00030075
                    224,                0.71478,                0.41538,                  1.099,                0.93422,                0.92939,                0.96472,                0.68314,                 1.0936,                0.53177,                   1.43,             0.00029708,             0.00029708,             0.00029708
                    225,                0.72146,                0.40043,                 1.0943,                0.92051,                0.92045,                 0.9606,                0.67861,                 1.1222,                0.55583,                 1.4346,             0.00029342,             0.00029342,             0.00029342
                    226,                0.72059,                0.41638,                 1.0998,                0.94237,                0.88423,                0.95005,                0.67205,                  1.095,                 0.5696,                 1.4343,             0.00028975,             0.00028975,             0.00028975
                    227,                0.68173,                0.40839,                 1.0899,                0.93434,                 0.9247,                0.96068,                0.67583,                 1.0986,                0.53089,                 1.4028,             0.00028608,             0.00028608,             0.00028608
                    228,                0.72145,                0.40814,                 1.0913,                0.91156,                0.90636,                0.96018,                0.67637,                 1.1182,                 0.5648,                 1.4048,             0.00028242,             0.00028242,             0.00028242
                    229,                0.70198,                0.40474,                 1.0798,                0.94608,                0.90015,                0.95648,                0.67053,                 1.1263,                0.56332,                  1.431,             0.00027875,             0.00027875,             0.00027875
                    230,                 0.7043,                0.40812,                 1.0758,                0.94556,                0.93176,                0.96521,                0.69208,                 1.0794,                0.52763,                 1.4152,             0.00027508,             0.00027508,             0.00027508
                    231,                0.68053,                0.39453,                 1.0732,                 0.9303,                0.92272,                 0.9691,                0.69026,                 1.1146,                0.53505,                 1.4353,             0.00027142,             0.00027142,             0.00027142
                    232,                0.70072,                0.40061,                 1.0948,                0.93872,                0.90773,                0.96646,                0.69123,                 1.1085,                0.54832,                 1.4283,             0.00026775,             0.00026775,             0.00026775
                    233,                0.69333,                0.40108,                 1.0829,                0.95645,                0.90523,                 0.9639,                0.68453,                 1.1038,                0.52776,                 1.4162,             0.00026408,             0.00026408,             0.00026408
                    234,                0.70681,                0.40803,                 1.0913,                0.93554,                0.90711,                0.95945,                0.68125,                   1.08,                0.52452,                 1.4159,             0.00026042,             0.00026042,             0.00026042
                    235,                0.67317,                0.38581,                 1.0566,                0.95023,                0.90292,                0.96525,                 0.6841,                 1.0901,                 0.5319,                 1.4285,             0.00025675,             0.00025675,             0.00025675
                    236,                0.67069,                0.39677,                 1.0527,                0.96407,                0.90296,                0.96571,                0.68262,                 1.1083,                0.52988,                  1.438,             0.00025309,             0.00025309,             0.00025309
                    237,                0.66481,                0.39684,                 1.0655,                0.93392,                0.90916,                 0.9715,                0.69079,                 1.0918,                0.51738,                 1.4293,             0.00024942,             0.00024942,             0.00024942
                    238,                0.68224,                0.39292,                 1.0684,                0.93547,                0.89755,                0.96425,                0.68392,                 1.1164,                0.54168,                 1.4305,             0.00024575,             0.00024575,             0.00024575
                    239,                0.66902,                0.38274,                 1.0701,                0.94297,                  0.918,                 0.9593,                0.69021,                 1.1099,                0.53479,                 1.4332,             0.00024209,             0.00024209,             0.00024209
                    240,                0.66593,                 0.3805,                 1.0677,                0.93787,                0.91937,                0.95387,                0.68193,                 1.0935,                0.55761,                 1.4208,             0.00023842,             0.00023842,             0.00023842
                    241,                0.69333,                0.39218,                 1.0928,                0.93197,                0.93266,                0.96059,                0.69792,                 1.0834,                0.53987,                 1.4151,             0.00023475,             0.00023475,             0.00023475
                    242,                0.66485,                0.39352,                 1.0631,                0.93196,                0.91842,                0.96615,                0.69138,                 1.1184,                0.54547,                 1.4419,             0.00023109,             0.00023109,             0.00023109
                    243,                 0.6912,                0.39648,                  1.073,                0.94268,                 0.9271,                0.96288,                0.69175,                 1.0851,                 0.5281,                  1.428,             0.00022742,             0.00022742,             0.00022742
                    244,                0.67014,                0.38681,                 1.0616,                0.93756,                0.92878,                0.96032,                0.68516,                 1.0759,                0.53584,                 1.4233,             0.00022376,             0.00022376,             0.00022376
                    245,                0.68677,                0.39716,                  1.079,                0.92826,                0.92644,                0.95442,                0.67312,                 1.1193,                0.55705,                 1.4641,             0.00022009,             0.00022009,             0.00022009
                    246,                0.67824,                0.39226,                  1.061,                0.94641,                0.91138,                0.94856,                0.67542,                 1.0876,                0.56389,                 1.4295,             0.00021642,             0.00021642,             0.00021642
                    247,                 0.6463,                0.38184,                 1.0416,                0.93586,                0.91681,                0.94758,                0.68558,                 1.0804,                0.55802,                 1.4283,             0.00021276,             0.00021276,             0.00021276
                    248,                0.68725,                0.38892,                 1.0718,                0.92212,                0.92477,                0.95135,                0.67263,                 1.1058,                0.56672,                 1.4375,             0.00020909,             0.00020909,             0.00020909
                    249,                0.67353,                0.38636,                 1.0656,                0.92386,                0.92313,                  0.952,                0.69096,                 1.0665,                0.52334,                 1.4315,             0.00020542,             0.00020542,             0.00020542
                    250,                 0.6867,                0.40261,                 1.0874,                0.94573,                0.92613,                0.95428,                0.67899,                 1.0864,                0.53149,                 1.4377,             0.00020176,             0.00020176,             0.00020176
                    251,                0.63869,                0.37385,                 1.0446,                0.93274,                 0.9289,                0.95778,                0.69057,                 1.1028,                0.55119,                 1.4335,             0.00019809,             0.00019809,             0.00019809
                    252,                0.63174,                0.36947,                 1.0414,                0.92879,                0.91052,                0.95271,                0.67018,                  1.119,                 0.5693,                 1.4546,             0.00019442,             0.00019442,             0.00019442
                    253,                0.62403,                0.37333,                  1.044,                0.93814,                 0.8946,                0.95028,                0.68063,                 1.0886,                0.54739,                 1.4277,             0.00019076,             0.00019076,             0.00019076
                    254,                0.63197,                0.38194,                 1.0439,                0.92882,                0.92747,                0.94762,                0.67642,                 1.0885,                0.53692,                 1.4347,             0.00018709,             0.00018709,             0.00018709
                    255,                0.61874,                0.36829,                 1.0276,                0.93006,                0.91726,                0.95007,                0.67193,                 1.1359,                0.56869,                 1.4845,             0.00018343,             0.00018343,             0.00018343
                    256,                0.62768,                0.36454,                 1.0305,                 0.8966,                0.92991,                0.95347,                0.68933,                 1.0783,                0.54467,                 1.4355,             0.00017976,             0.00017976,             0.00017976
                    257,                0.63696,                0.36374,                 1.0456,                0.92641,                0.91354,                0.95064,                0.68835,                 1.1085,                0.55059,                 1.4604,             0.00017609,             0.00017609,             0.00017609
                    258,                 0.6364,                0.36912,                 1.0527,                0.93814,                0.90431,                0.94635,                0.67994,                 1.1057,                0.55813,                 1.4554,             0.00017243,             0.00017243,             0.00017243
                    259,                0.62469,                0.36209,                 1.0498,                0.94058,                 0.9229,                0.95081,                 0.6795,                 1.0969,                0.53609,                 1.4729,             0.00016876,             0.00016876,             0.00016876
                    260,                0.64157,                 0.3722,                 1.0511,                 0.9484,                0.91177,                0.95505,                0.68704,                  1.122,                0.53898,                 1.4942,             0.00016509,             0.00016509,             0.00016509
                    261,                0.63371,                 0.3671,                 1.0538,                0.95437,                0.91479,                0.95391,                0.68622,                 1.1102,                0.54732,                 1.4735,             0.00016143,             0.00016143,             0.00016143
                    262,                0.61969,                0.36139,                  1.036,                0.94613,                0.91701,                0.95952,                0.70023,                  1.083,                0.53902,                 1.4561,             0.00015776,             0.00015776,             0.00015776
                    263,                0.62174,                0.35207,                 1.0389,                0.94807,                0.92232,                0.96034,                0.68975,                 1.1255,                0.53678,                 1.4743,              0.0001541,              0.0001541,              0.0001541
                    264,                 0.6255,                0.37139,                 1.0428,                0.94615,                0.92704,                0.96246,                0.69421,                 1.1052,                0.53683,                 1.4782,             0.00015043,             0.00015043,             0.00015043
                    265,                0.61002,                0.35486,                 1.0314,                0.94065,                 0.9252,                0.95761,                0.69025,                  1.105,                0.53212,                 1.4838,             0.00014676,             0.00014676,             0.00014676
                    266,                0.59908,                0.36085,                 1.0376,                0.92366,                0.93021,                0.95858,                0.68976,                 1.1176,                0.53709,                 1.4808,              0.0001431,              0.0001431,              0.0001431
                    267,                0.58853,                0.35457,                 1.0151,                0.89076,                0.94167,                0.96078,                0.67993,                 1.1195,                0.54407,                  1.487,             0.00013943,             0.00013943,             0.00013943
                    268,                0.60009,                0.35689,                 1.0344,                0.92314,                0.91339,                0.96119,                0.68354,                 1.1129,                0.54467,                 1.4882,             0.00013576,             0.00013576,             0.00013576
                    269,                0.60241,                0.35098,                 1.0258,                0.94595,                0.89704,                0.96211,                0.68489,                 1.1184,                0.55703,                 1.4829,              0.0001321,              0.0001321,              0.0001321
                    270,                0.61675,                0.35883,                 1.0342,                0.94542,                0.89449,                0.95897,                0.68699,                 1.0959,                0.54684,                  1.462,             0.00012843,             0.00012843,             0.00012843
                    271,                0.59843,                0.34987,                  1.023,                0.95243,                0.89761,                0.95326,                0.68396,                 1.1017,                 0.5627,                 1.4637,             0.00012477,             0.00012477,             0.00012477
                    272,                0.59204,                0.34894,                 1.0277,                 0.9386,                0.89969,                0.96321,                0.68599,                 1.1262,                0.56152,                 1.4897,              0.0001211,              0.0001211,              0.0001211
                    273,                0.57922,                0.34484,                 1.0127,                0.94138,                0.91811,                0.95941,                0.69144,                 1.0843,                0.52562,                 1.4683,             0.00011743,             0.00011743,             0.00011743
                    274,                0.58033,                0.34615,                 1.0171,                0.92224,                0.92938,                0.95983,                0.69228,                 1.0821,                0.54149,                 1.4635,             0.00011377,             0.00011377,             0.00011377
                    275,                0.60629,                0.36178,                 1.0383,                0.93556,                0.91004,                 0.9589,                0.68316,                 1.1083,                0.55994,                 1.4848,              0.0001101,              0.0001101,              0.0001101
                    276,                0.57772,                 0.3397,                 1.0267,                0.93458,                0.90955,                0.95752,                0.68408,                 1.0986,                 0.5432,                 1.4773,             0.00010643,             0.00010643,             0.00010643
                    277,                0.58046,                0.34193,                 1.0114,                0.92553,                0.90617,                0.95732,                0.68388,                 1.1103,                0.54183,                 1.4947,             0.00010277,             0.00010277,             0.00010277
                    278,                 0.5874,                0.33919,                 1.0161,                0.91943,                0.92722,                0.95483,                  0.686,                 1.0872,                0.52526,                 1.4685,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    279,                0.60186,                0.35011,                 1.0307,                 0.9256,                0.90478,                0.95189,                0.68636,                 1.0905,                0.55647,                 1.4686,             9.5435e-05,             9.5435e-05,             9.5435e-05
                    280,                0.59725,                0.35657,                 1.0218,                0.94908,                0.89893,                0.95239,                0.67932,                 1.0962,                0.55648,                 1.4762,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    281,                0.57698,                0.34182,                 1.0109,                0.94846,                0.89531,                0.95244,                0.67665,                 1.1062,                0.56476,                 1.4881,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    282,                0.56316,                0.33195,                 1.0037,                 0.9312,                0.90778,                 0.9566,                 0.6685,                 1.1042,                0.53632,                 1.4896,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    283,                0.57881,                0.34361,                 1.0124,                0.93878,                0.89961,                0.95381,                0.67026,                 1.1127,                0.55626,                 1.4982,              8.077e-05,              8.077e-05,              8.077e-05
                    284,                0.55813,                0.32376,                0.99336,                 0.9507,                0.90497,                0.95572,                0.68279,                 1.1039,                0.54292,                 1.4824,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    285,                0.56673,                0.33179,                  1.009,                0.95193,                0.89854,                0.95648,                0.68227,                 1.0911,                0.52325,                 1.4744,             7.3437e-05,             7.3437e-05,             7.3437e-05
                    286,                0.58257,                0.34241,                 1.0154,                0.94462,                0.91345,                0.95826,                0.68274,                 1.0909,                0.52234,                 1.4697,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    287,                0.55615,                0.33298,                 1.0058,                0.93781,                0.91081,                0.95711,                0.68691,                 1.1025,                0.53239,                 1.4852,             6.6105e-05,             6.6105e-05,             6.6105e-05
                    288,                0.55986,                0.33311,                  1.009,                0.93526,                0.90785,                0.95414,                0.68138,                 1.1006,                0.54029,                 1.4841,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    289,                 0.5463,                0.32413,                0.99496,                0.93401,                0.91288,                0.95318,                0.68235,                 1.0898,                0.54064,                 1.4738,             5.8772e-05,             5.8772e-05,             5.8772e-05
                    290,                 0.5594,                0.32914,                 1.0078,                0.92276,                0.90914,                0.95229,                0.68538,                 1.0946,                0.54065,                 1.4824,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    291,                0.48934,                0.27579,                0.92306,                0.91663,                0.89819,                0.94957,                0.68045,                 1.0981,                0.55131,                 1.4966,             5.1439e-05,             5.1439e-05,             5.1439e-05
                    292,                0.46348,                0.26491,                0.89559,                0.93054,                0.88855,                0.94946,                0.68435,                 1.0959,                0.55821,                 1.4917,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    293,                0.46257,                0.27022,                0.89894,                0.92208,                 0.9132,                0.95178,                0.68901,                 1.0836,                0.54777,                 1.4804,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    294,                0.45139,                 0.2602,                0.88968,                0.91861,                0.91178,                0.95352,                 0.6917,                 1.0951,                0.53421,                 1.4901,              4.044e-05,              4.044e-05,              4.044e-05
                    295,                0.45194,                 0.2626,                0.89574,                 0.9209,                0.91345,                0.95407,                0.68944,                 1.1044,                0.53591,                 1.4867,             3.6774e-05,             3.6774e-05,             3.6774e-05
                    296,                0.45048,                0.26043,                0.88445,                0.90078,                0.91853,                0.95424,                0.68304,                 1.1058,                0.54655,                 1.4902,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    297,                0.44722,                0.26271,                0.88178,                0.91144,                0.91653,                0.95211,                0.68198,                 1.1247,                0.54533,                 1.5083,             2.9442e-05,             2.9442e-05,             2.9442e-05
                    298,                0.43726,                0.25468,                   0.89,                0.92312,                0.90985,                0.95253,                0.68249,                 1.1221,                0.53823,                 1.5144,             2.5775e-05,             2.5775e-05,             2.5775e-05
                    299,                0.44645,                0.25727,                0.89019,                 0.9254,                0.91122,                0.95274,                0.68238,                 1.1179,                0.54039,                 1.5094,             2.2109e-05,             2.2109e-05,             2.2109e-05
                    300,                0.43617,                0.25375,                0.87966,                0.92197,                0.91209,                 0.9516,                0.68318,                 1.1181,                0.54329,                 1.5055,             1.8443e-05,             1.8443e-05,             1.8443e-05
